2023-05-07-09:10:02 -194.2 -99.969
2023-05-07-09:20:02 -194.2 -99.97
2023-05-07-09:30:02 -194.2 -99.97
2023-05-07-09:40:02 -194.2 -99.972
2023-05-07-09:50:02 -194.2 -99.969
2023-05-07-10:00:02 -194.2 -99.97
2023-05-07-10:10:02 -194.2 -99.97
2023-05-07-10:20:02 -194.19 -99.969
2023-05-07-10:30:02 -194.19 -99.967
2023-05-07-10:40:02 -194.2 -99.969
2023-05-07-10:50:02 -194.19 -99.97
2023-05-07-11:00:02 -194.19 -99.969
2023-05-07-11:10:02 -194.19 -99.969
2023-05-07-11:20:02 -194.19 -99.969
2023-05-07-11:30:02 -194.19 -99.969
2023-05-07-11:40:02 -194.19 -99.97
2023-05-07-11:50:02 -194.19 -99.969
2023-05-07-12:00:02 -194.19 -99.97
2023-05-07-12:10:02 -194.18 -99.968
2023-05-07-12:20:02 -194.18 -99.97
2023-05-07-12:30:02 -194.18 -99.97
2023-05-07-12:40:02 -194.18 -99.967
2023-05-07-12:50:02 -194.18 -99.969
2023-05-07-13:00:02 -194.18 -99.968
2023-05-07-13:10:02 -194.18 -99.97
2023-05-07-13:20:02 -194.17 -99.969
2023-05-07-13:30:02 -194.18 -99.969
2023-05-07-13:40:02 -194.17 -99.971
2023-05-07-13:50:02 -194.17 -99.97
2023-05-07-14:00:02 -194.17 -99.972
2023-05-07-14:10:02 -194.17 -99.97
2023-05-07-14:20:02 -194.17 -99.97
2023-05-07-14:30:02 -194.17 -99.969
2023-05-07-14:40:02 -194.16 -99.969
2023-05-07-14:50:02 -194.16 -99.97
2023-05-07-15:00:03 -194.16 -99.969
2023-05-07-15:10:02 -194.16 -99.97
2023-05-07-15:20:02 -194.16 -99.97
2023-05-07-15:30:02 -194.16 -99.969
2023-05-07-15:40:02 -194.16 -99.969
2023-05-07-15:50:02 -194.16 -99.969
2023-05-07-16:00:02 -194.16 -99.968
2023-05-07-16:10:02 -194.16 -99.97
2023-05-07-16:20:02 -194.15 -99.971
2023-05-07-16:30:02 -194.15 -99.97
2023-05-07-16:40:02 -194.14 -99.969
2023-05-07-16:50:02 -194.14 -99.97
2023-05-07-17:00:02 -194.14 -99.97
2023-05-07-17:10:02 -194.14 -99.972
2023-05-07-17:20:02 -194.14 -99.969
2023-05-07-17:30:02 -194.13 -99.969
2023-05-07-17:40:02 -194.13 -99.969
2023-05-07-17:50:02 -194.12 -99.969
2023-05-07-18:00:02 -194.13 -99.971
2023-05-07-18:10:02 -194.12 -99.97
2023-05-07-18:20:02 -194.12 -99.972
2023-05-07-18:30:02 -194.11 -99.968
2023-05-07-18:40:02 -194.12 -99.97
2023-05-07-18:50:02 -194.11 -99.971
2023-05-07-19:00:02 -194.11 -99.969
2023-05-07-19:10:02 -194.11 -99.971
2023-05-07-19:20:02 -194.1 -99.969
2023-05-07-19:30:02 -194.1 -99.97
2023-05-07-19:40:02 -194.1 -99.969
2023-05-07-19:46:35 -194.1 -99.971
2023-05-07-19:49:40 -194.1 -99.97
2023-05-07-19:50:02 -194.1 -99.97
2023-05-07-19:58:59 -194.11 -99.97
2023-05-07-19:59:58 -194.11 -99.971
2023-05-07-20:00:02 -194.11 -99.969
2023-05-07-20:00:09 -194.11 -99.969
2023-05-07-20:02:35 -194.11 -99.97
2023-05-07-20:10:02 -194.11 -99.969
2023-05-07-20:20:02 -194.11 -99.97
2023-05-07-20:30:02 -194.11 -99.97
2023-05-07-20:40:02 -194.11 -99.97
2023-05-08-09:01:40 -193.61 -99.97
2023-05-08-09:10:02 -194.28 -99.977
2023-05-08-09:20:02 -194.25 -99.968
2023-05-08-09:30:02 -194.24 -99.973
2023-05-08-09:40:02 -194.23 -99.969
2023-05-08-09:50:02 -194.24 -99.971
2023-05-08-10:00:02 -194.24 -99.97
2023-05-08-10:10:02 -194.24 -99.968
2023-05-08-10:20:02 -194.24 -99.97
2023-05-08-10:30:02 -194.24 -99.97
2023-05-08-10:40:02 -194.25 -99.967
2023-05-08-10:50:02 -194.26 -99.971
2023-05-08-11:00:02 -194.26 -99.969
2023-05-08-11:10:02 -194.25 -99.969
2023-05-08-14:10:02 -194.22 -99.859
2023-05-08-14:20:02 -194.22 -100.04
2023-05-08-14:30:02 -194.22 -99.94
2023-05-08-14:40:02 -194.21 -99.973
2023-05-08-14:50:02 -194.22 -99.981
2023-05-08-15:00:02 -194.22 -99.951
2023-05-08-15:10:02 -194.22 -99.987
2023-05-08-15:20:02 -194.22 -99.95
2023-05-08-15:30:02 -194.22 -99.985
2023-05-08-15:40:02 -194.22 -99.955
2023-05-08-15:50:02 -194.21 -99.978
2023-05-08-16:00:02 -194.22 -99.963
2023-05-08-16:10:02 -194.22 -99.959
2023-05-08-16:20:02 -194.22 -99.988
2023-05-08-16:30:02 -194.21 -99.896
2023-05-08-16:40:02 -194.21 -100.08
